,name,author,description,year_pub,nb_download,link
37,Induction,T.K. Eldridge,"They weren't supposed to exist.
Sidonie & Sinclair Boudreau were the offspring of a witch and a shifter. Such pairings usually resulted in death. Sid & Sin had not only survived, but thrived, and managed to sidestep the family legacy of supernatural policing.
The disappearance of their parents changed everything. A cryptic message, an ancient prophecy, and a mystery to uncover in order to bring their parents home puts the twins in the crosshairs of an enemy they didn't know existed.
What would you do, to save those you loved?
Fans of paranormal mysteries will love this fast-paced, five star ride!",2019,"10,268",https://manybooks.net/titles/induction
38,Induction,T.K. Eldridge,"They weren't supposed to exist.
Sidonie & Sinclair Boudreau were the offspring of a witch and a shifter. Such pairings usually resulted in death. Sid & Sin had not only survived, but thrived, and managed to sidestep the family legacy of supernatural policing.
The disappearance of their parents changed everything. A cryptic message, an ancient prophecy, and a mystery to uncover in order to bring their parents home puts the twins in the crosshairs of an enemy they didn't know existed.
What would you do, to save those you loved?
Fans of paranormal mysteries will love this fast-paced, five star ride!",2019,"10,268",https://manybooks.net/titles/induction
39,Fire & Water,Bobbi Schemerhorn,"Mixing magic and inexperience may result in dragons!

Khaly accidentally brought her school project to life.

And now she has a dragon.

Khaly knew something was wrong when the dragon wasn’t where she left it. She had no idea how it happened or that it was her fault. But now Khaly must run because the Guild was coming for her.

Power and domination is the Guild’s desire...

...Elementals stand in their way.

The Guild is a true force of evil. Sweeping through Vlarlee they wipe out those with magical gifts, known as Elementals. No matter the age.

Who is the real threat? Can Khaly figure it out before the Guild finds her?
Fire & Water is the first book in the Mechanical Dragons Fantasy Series. It's full of twists and turns you will never see coming! Join the Adventure!",2014,"3,236",https://manybooks.net/titles/fire-water
40,Fire & Water,Bobbi Schemerhorn,"Mixing magic and inexperience may result in dragons!

Khaly accidentally brought her school project to life.

And now she has a dragon.

Khaly knew something was wrong when the dragon wasn’t where she left it. She had no idea how it happened or that it was her fault. But now Khaly must run because the Guild was coming for her.

Power and domination is the Guild’s desire...

...Elementals stand in their way.

The Guild is a true force of evil. Sweeping through Vlarlee they wipe out those with magical gifts, known as Elementals. No matter the age.

Who is the real threat? Can Khaly figure it out before the Guild finds her?
Fire & Water is the first book in the Mechanical Dragons Fantasy Series. It's full of twists and turns you will never see coming! Join the Adventure!",2014,"3,236",https://manybooks.net/titles/fire-water
41,Bronze Magic,Jennifer Ealey,"Exiled by his power-hungry brothers, Prince Tarkyn encounters the woodfolk: a secretive group of telepaths living deep in the woodlands.

When bounty hunters attack, Tarquin narrowly escapes with the aid of the forest-dwellers, and discovers a secret about their source of magic. Embracing his new identity, allegiances are formed as the woodfolk hail Tarquin as the Guardian Of The Forest.

But can he find a way to protect this mysterious realm, and seize his true destiny?",2019,"2,778",https://manybooks.net/titles/bronze-magic
42,Bronze Magic,Jennifer Ealey,"Exiled by his power-hungry brothers, Prince Tarkyn encounters the woodfolk: a secretive group of telepaths living deep in the woodlands.

When bounty hunters attack, Tarquin narrowly escapes with the aid of the forest-dwellers, and discovers a secret about their source of magic. Embracing his new identity, allegiances are formed as the woodfolk hail Tarquin as the Guardian Of The Forest.

But can he find a way to protect this mysterious realm, and seize his true destiny?",2019,"2,778",https://manybooks.net/titles/bronze-magic
43,Marked,Katrina Cope,"Kara thought that her lack of wings was a problem in the world of Valkyries–until she stumbled across a dragon's nest. She soon learned that wherever you found a dragon’s nest, a mother dragon was always nearby. No matter how much combat training she had, she could still become lunch.",2019,"9,104",https://manybooks.net/titles/marked
44,Marked,Katrina Cope,"Kara thought that her lack of wings was a problem in the world of Valkyries–until she stumbled across a dragon's nest. She soon learned that wherever you found a dragon’s nest, a mother dragon was always nearby. No matter how much combat training she had, she could still become lunch.",2019,"9,104",https://manybooks.net/titles/marked
45,Dillon Hunt And The Desert Oasis Resort,Chad Stewart,"Excitement, intrigue, and action are afoot with a stolen chemical, a missing man, a secret organization, and a twelve year old boy who has strange abilities that might be the answer to solving a mystery. When the Orion Group is hired to find Genesis—a chemical with potentially world-altering properties—they conscript the help of Dillon Hunt, who has abilities that even he doesn't understand. The problem for Dillon is that he doesn't even know he's in their service until it's almost too late.",2019,"2,202",https://manybooks.net/titles/dillon-hunt-and-the-desert-oasis-resort
46,Dillon Hunt And The Desert Oasis Resort,Chad Stewart,"Excitement, intrigue, and action are afoot with a stolen chemical, a missing man, a secret organization, and a twelve year old boy who has strange abilities that might be the answer to solving a mystery. When the Orion Group is hired to find Genesis—a chemical with potentially world-altering properties—they conscript the help of Dillon Hunt, who has abilities that even he doesn't understand. The problem for Dillon is that he doesn't even know he's in their service until it's almost too late.",2019,"2,202",https://manybooks.net/titles/dillon-hunt-and-the-desert-oasis-resort
47,Gulliver's Travels,Jonathan Swift,"A satire on human nature and a parody of the ""travellers' tales"" literary genre, this is widely considered Swift's greatest work as well as one of the indisputable classics of English literature. Transcribed from the 1892 George Bell and Son edition.",1726,"57,933",https://manybooks.net/titles/swiftjonetext97gltrv10.html
48,Gulliver's Travels,Jonathan Swift,"A satire on human nature and a parody of the ""travellers' tales"" literary genre, this is widely considered Swift's greatest work as well as one of the indisputable classics of English literature. Transcribed from the 1892 George Bell and Son edition.",1726,"57,933",https://manybooks.net/titles/swiftjonetext97gltrv10.html
49,The Thirty-Nine Steps,John Buchan,"Hanney, an expatriated Scot, returns from a long stay in South Africa to his flat in London. One night he is buttonholed by an American who appears to know of an anarchist plot to destabilise Europe, and claims to be in fear for his life. Hannay lets the American hide in his flat, and returns later to find that another man has been found shot dead in the same building, apparently a suicide. Four days later Hannay finds the American stabbed to death...Followed by Greenmantle, and Mr. Standfast.",1915,"44,303",https://manybooks.net/titles/buchanjoetext9639stp10.html
50,The Thirty-Nine Steps,John Buchan,"Hanney, an expatriated Scot, returns from a long stay in South Africa to his flat in London. One night he is buttonholed by an American who appears to know of an anarchist plot to destabilise Europe, and claims to be in fear for his life. Hannay lets the American hide in his flat, and returns later to find that another man has been found shot dead in the same building, apparently a suicide. Four days later Hannay finds the American stabbed to death...Followed by Greenmantle, and Mr. Standfast.",1915,"44,303",https://manybooks.net/titles/buchanjoetext9639stp10.html
51,The Last of the Mohicans,James Fenimore Cooper,"Hawkeye and his Mohican companions Chingachgook and Uncas escort the Munro sisters, Cora and Alice, through the woods of New York to Fort William Henry. Also in the expeditin party are British army Major Duncan Heyward and a psalmist named David Gamut. Along the way they are forced to fight against Hurons led by the evil Magua, which leads to an encounter with another American Indian tribe called the Delaware -- a development which will prove crucial at the end of the novel.
",1826,"15,785",https://manybooks.net/titles/cooperjaetext97mohic10.html
52,The Last of the Mohicans,James Fenimore Cooper,"Hawkeye and his Mohican companions Chingachgook and Uncas escort the Munro sisters, Cora and Alice, through the woods of New York to Fort William Henry. Also in the expeditin party are British army Major Duncan Heyward and a psalmist named David Gamut. Along the way they are forced to fight against Hurons led by the evil Magua, which leads to an encounter with another American Indian tribe called the Delaware -- a development which will prove crucial at the end of the novel.
",1826,"15,785",https://manybooks.net/titles/cooperjaetext97mohic10.html
53,Robinson Crusoe,Daniel Defoe,"Sometimes considered to be the first novel in English, this book is a fictional autobiography of a castaway who spends 28 years on a remote tropical island near Venezuela.
",1719,"61,987",https://manybooks.net/titles/defoedanetext96rbcru10.html
54,Robinson Crusoe,Daniel Defoe,"Sometimes considered to be the first novel in English, this book is a fictional autobiography of a castaway who spends 28 years on a remote tropical island near Venezuela.
",1719,"61,987",https://manybooks.net/titles/defoedanetext96rbcru10.html
55,The Count of Monte Cristo,Alexandre Dumas,"A classic adventure novel, often considered Dumas' best work, and frequently included on lists of the best novels of all time. Completed in 1844, and released as an 18-part series over the next two years, Dumas collaborated with other authors throughout. The story takes place in France, Italy, and the Mediterranean from the end of the rule of Napoleon I through the reign of Louis-Philippe.
",1845,"222,388",https://manybooks.net/titles/dumasalpetext98crsto12.html
56,The Count of Monte Cristo,Alexandre Dumas,"A classic adventure novel, often considered Dumas' best work, and frequently included on lists of the best novels of all time. Completed in 1844, and released as an 18-part series over the next two years, Dumas collaborated with other authors throughout. The story takes place in France, Italy, and the Mediterranean from the end of the rule of Napoleon I through the reign of Louis-Philippe.
",1845,"222,388",https://manybooks.net/titles/dumasalpetext98crsto12.html
57,The Man in the Iron Mask,Alexandre Dumas,"A translation of L'homme au masque de fer.
",1850,"19,732",https://manybooks.net/titles/dumasalpetext01ironm11.html
58,The Man in the Iron Mask,Alexandre Dumas,"A translation of L'homme au masque de fer.
",1850,"19,732",https://manybooks.net/titles/dumasalpetext01ironm11.html
59,Seven Swords,Michael E. Shea,"Vampire cannibals threaten the small town of Fena Dim. An old animal herder seeks seven fighters, the best in the world, to save his village from the demons who will soon fall upon it. An old soldier, a young rogue, an ex-slave, a powerful barbarian, a mysterious swordswoman, and a young girl who may be the key to victory answer his call.",2008,"15,000",https://manybooks.net/titles/sheamother09seven_swords.html
60,The Hour of the Dragon,Robert E. Howard,Copyright un-renewed.,1936,"14,357",https://manybooks.net/titles/howardrother07hour_of_the_dragon.html
61,The Hour of the Dragon,Robert E. Howard,Copyright un-renewed.,1936,"14,357",https://manybooks.net/titles/howardrother07hour_of_the_dragon.html
62,Beasts of Tarzan,Edgar Rice Burroughs,Tarzan's fearsome call summons the most formidable array of jungle fighters ever known... THE BEASTS OF TARZAN.,1914,"14,368",https://manybooks.net/titles/burroughseetext93tarz311.html
63,Beasts of Tarzan,Edgar Rice Burroughs,Tarzan's fearsome call summons the most formidable array of jungle fighters ever known... THE BEASTS OF TARZAN.,1914,"14,368",https://manybooks.net/titles/burroughseetext93tarz311.html
64,The Galaxy Primes,Edward Elmer Smith,"The Pleiades was Earth's first starship, and it could travel anywhere instantaneously -- but where it ended up could not be predicted... or even if the ship could return to Earth!",1959,"14,002",https://manybooks.net/titles/smithee2089820898.html
65,The Galaxy Primes,Edward Elmer Smith,"The Pleiades was Earth's first starship, and it could travel anywhere instantaneously -- but where it ended up could not be predicted... or even if the ship could return to Earth!",1959,"14,002",https://manybooks.net/titles/smithee2089820898.html
66,The Sea Wolf,Jack London,"The story of a soft, domesticated intellectual named Humphrey van Weyden, forced to become tough and self-reliant through exposure to cruel brutality. Onboard a San Francisco ferry when it collides with a ship in the fog and sinks, Humphrey is rescued by Wolf Larsen, captain of the seal-hunting schooner Ghost, bound for Japan. Brutal and cynical, yet also highly intelligent, Larsen rules his ship and terrorizes the crew with the aid of his exceptional strength.",1904,"13,764",https://manybooks.net/titles/londonjaetext97cwolf10.html
67,The Sea Wolf,Jack London,"The story of a soft, domesticated intellectual named Humphrey van Weyden, forced to become tough and self-reliant through exposure to cruel brutality. Onboard a San Francisco ferry when it collides with a ship in the fog and sinks, Humphrey is rescued by Wolf Larsen, captain of the seal-hunting schooner Ghost, bound for Japan. Brutal and cynical, yet also highly intelligent, Larsen rules his ship and terrorizes the crew with the aid of his exceptional strength.",1904,"13,764",https://manybooks.net/titles/londonjaetext97cwolf10.html
68,Greenmantle,John Buchan,"A classic espionage and adventure novel set during The Great War, featuring the reckless Richard Hannay. Tasked with unraveling a mysterious message, Hannay travels through Germany and the Middle East, searching for the elusive religious leader ''Greenmantle''. Sequel to The Thirty-Nine Steps and precursor to Mr. Standfast.",1916,"13,000",https://manybooks.net/titles/buchanjoetext96gmntl10.html
69,Greenmantle,John Buchan,"A classic espionage and adventure novel set during The Great War, featuring the reckless Richard Hannay. Tasked with unraveling a mysterious message, Hannay travels through Germany and the Middle East, searching for the elusive religious leader ''Greenmantle''. Sequel to The Thirty-Nine Steps and precursor to Mr. Standfast.",1916,"13,000",https://manybooks.net/titles/buchanjoetext96gmntl10.html
70,Key Out of Time,Andre Norton,"Ashe Gordon and Ross Murdock, angry about the loss of their fellow agent Travis Fox on the planet Topaz, have travelled to the planet Hawaikan, a warm ocean planet, where they intend to set up a time gate. The world is so different from what they expected that they decide on a risky experiment: travel into the past of the planet, accompanied by two mutant dolphins and a female agent of Polynesian ancenstry.",1963,"12,862",https://manybooks.net/titles/nortona1965119651-8.html
71,Key Out of Time,Andre Norton,"Ashe Gordon and Ross Murdock, angry about the loss of their fellow agent Travis Fox on the planet Topaz, have travelled to the planet Hawaikan, a warm ocean planet, where they intend to set up a time gate. The world is so different from what they expected that they decide on a risky experiment: travel into the past of the planet, accompanied by two mutant dolphins and a female agent of Polynesian ancenstry.",1963,"12,862",https://manybooks.net/titles/nortona1965119651-8.html
72,The Curse of Capistrano,Harrington Strong,"The first work to feature Zorro, nobleman and master swordsman living in Spanish- and Mexican-era California. This novel originally appeared as five serialized installments in the pulp magazine All-Story Weekly.
",1919,"12,566",https://manybooks.net/titles/mcculleyjother07Curse_of_Capistrano.html
73,The Curse of Capistrano,Harrington Strong,"The first work to feature Zorro, nobleman and master swordsman living in Spanish- and Mexican-era California. This novel originally appeared as five serialized installments in the pulp magazine All-Story Weekly.
",1919,"12,566",https://manybooks.net/titles/mcculleyjother07Curse_of_Capistrano.html
74,The Coral Island,Robert Michael Ballantyne,"Three boys, Ralph, Peterkin and Jack, are stranded on an island - not a realistic portrayal of such a situation, but still successful and popular in its day. Its interesting to note that The Lord of the Flies was written in response to the unrealistic behavour and racism in this book.",1857,"12,491",https://manybooks.net/titles/ballantyetext96coril10.html
75,The Coral Island,Robert Michael Ballantyne,"Three boys, Ralph, Peterkin and Jack, are stranded on an island - not a realistic portrayal of such a situation, but still successful and popular in its day. Its interesting to note that The Lord of the Flies was written in response to the unrealistic behavour and racism in this book.",1857,"12,491",https://manybooks.net/titles/ballantyetext96coril10.html
76,Guilt of the Brass Thieves,Mildred Augustine Wirt,"Mr. Gandiss and his son, Jack, ask Mr. Parker to help them stop the theft of brass from their airplane factory.  While Jack and Penny visit the factory, a piece of brass is found in the possession of Sally Barker, and she is fired.  Sally maintains that she has no idea how the brass came to be in her locker, and Penny believes her.  With Jack and Sally's help, Penny attempts to bring the real thieves to justice",1945,"12,022",https://manybooks.net/titles/wirtm3483134831.html
